"co_pcdt","co_cid10_diagnostico_principal","co_sigtap_procedimento","nu_competencia_min","nu_competencia_max","qt_aprovada","qt_autorizacao","qt_cns_paciente","qt_municipios_paciente","qt_cnes","sg_procedimento","no_procedimento","no_cid10_diagnostico_principal"
2,D611,601190050,200802,200802,4,1,1,1,1,ALFA2180,ALFAPEGINTERFERONA 2A 180MCG (POR SERINGA PREENCHIDA),Anemia aplastica induzida por drogas 
2,D611,601200012,200801,201003,11145,79,18,12,11,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Anemia aplastica induzida por drogas 
2,D611,601200039,200801,201005,21936,128,32,25,25,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Anemia aplastica induzida por drogas 
2,D611,601200047,200806,201002,264,15,6,5,5,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Anemia aplastica induzida por drogas 
2,D611,601200055,200801,200902,1310,9,3,3,3,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Anemia aplastica induzida por drogas 
2,D611,601200063,200802,201005,3600,31,11,10,11,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Anemia aplastica induzida por drogas 
2,D611,604250010,201003,201906,14646,1608,564,143,60,FILG300,FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),Anemia aplastica induzida por drogas 
2,D611,604340028,201009,201906,14215,69,29,24,23,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Anemia aplastica induzida por drogas 
2,D611,604340036,201003,201906,42673,238,69,48,37,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Anemia aplastica induzida por drogas 
2,D611,604340044,201003,201906,80939,531,114,81,57,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Anemia aplastica induzida por drogas 
2,D611,604340052,201003,201902,253,35,15,13,12,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Anemia aplastica induzida por drogas 
2,D611,604530013,201003,201102,7235,50,15,11,11,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Anemia aplastica induzida por drogas 
2,D612,601160010,200801,201003,992,36,20,16,16,FILG300,FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),Anemia aplastica devida a outros agentes externos 
2,D612,601200012,200803,201001,2855,34,9,6,10,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Anemia aplastica devida a outros agentes externos 
2,D612,601200039,200801,201004,8043,54,15,15,14,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Anemia aplastica devida a outros agentes externos 
2,D612,601200047,201002,201004,4,1,1,1,1,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Anemia aplastica devida a outros agentes externos 
2,D612,601200063,200801,201004,2630,22,7,5,7,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Anemia aplastica devida a outros agentes externos 
2,D612,604250010,201003,201906,924,48,35,28,17,FILG300,FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),Anemia aplastica devida a outros agentes externos 
2,D612,604340028,201102,201611,3228,13,8,7,6,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Anemia aplastica devida a outros agentes externos 
2,D612,604340036,201006,201906,11203,63,21,21,18,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Anemia aplastica devida a outros agentes externos 
2,D612,604340044,201004,201906,20927,127,36,32,26,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Anemia aplastica devida a outros agentes externos 
2,D612,604340052,201005,201803,232,42,10,8,9,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Anemia aplastica devida a outros agentes externos 
2,D612,604470029,201004,201005,16,1,1,1,1,ALFA2000,ALFAEPOETINA 2.000 UI INJETAVEL (POR FRASCO-AMPOLA),Anemia aplastica devida a outros agentes externos 
2,D612,604530013,201003,201101,945,8,5,5,5,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Anemia aplastica devida a outros agentes externos 
2,D613,601160010,200801,201004,8443,204,96,51,26,FILG300,FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),Anemia aplastica idiopatica 
2,D613,601200012,200801,201004,16157,132,48,24,20,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Anemia aplastica idiopatica 
2,D613,601200020,200804,200910,180,2,2,2,2,CICLOSP10,CICLOSPORINA 10 MG P/ TRANSPLANTE (POR CAPSULA),Anemia aplastica idiopatica 
2,D613,601200039,200801,201005,365425,1765,531,229,77,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Anemia aplastica idiopatica 
2,D613,601200047,200801,201004,1852,192,63,43,35,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Anemia aplastica idiopatica 
2,D613,601200055,200801,201004,53819,320,112,66,40,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Anemia aplastica idiopatica 
2,D613,601200063,200801,201005,122391,802,269,131,60,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Anemia aplastica idiopatica 
2,D613,604250010,201003,201906,27664,565,189,92,52,FILG300,FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),Anemia aplastica idiopatica 
2,D613,604340010,201009,201802,4722,16,12,4,4,CICLOSP10,CICLOSPORINA 10 MG P/ TRANSPLANTE (POR CAPSULA),Anemia aplastica idiopatica 
2,D613,604340028,201003,201906,385523,2149,586,252,103,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Anemia aplastica idiopatica 
2,D613,604340036,201003,201906,943596,5229,1216,461,124,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Anemia aplastica idiopatica 
2,D613,604340044,201003,201906,1896895,10527,2070,676,157,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Anemia aplastica idiopatica 
2,D613,604340052,201003,201906,6936,810,230,141,71,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Anemia aplastica idiopatica 
2,D613,604470045,201004,201005,36,2,2,2,1,ALFA4000,ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA),Anemia aplastica idiopatica 
2,D613,604530013,201003,201103,10475,71,36,22,16,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Anemia aplastica idiopatica 
2,E220,601110099,200801,200802,90,2,1,1,1,RISP2,RISPERIDONA 2 MG (POR COMPRIMIDO),Acromegalia e gigantismo hipofisario 
2,E220,601180208,200802,200802,60,1,1,1,1,SINV20,SINVASTATINA (J) 20 MG (POR COMPRIMIDO),Acromegalia e gigantismo hipofisario 
2,E220,601180216,200801,200801,120,1,1,1,1,SINV40,SINVASTATINA (J) 40 MG (POR COMPRIMIDO),Acromegalia e gigantismo hipofisario 
2,E220,601260015,200801,201004,16,2,2,2,2,DESM0125,"DESMOPRESSINA 0,1 MG/ML APLICACAO NASAL (POR FRASCO DE 2,5 ML",Acromegalia e gigantismo hipofisario 
2,E220,601270037,200801,200801,2,2,2,1,1,LEUP375,"LEUPRORRELINA 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)",Acromegalia e gigantismo hipofisario 
2,E220,601300017,200801,201005,11880,1469,375,167,56,OCTR10,OCTREOTIDA  LAR 10 MG INJETAVEL (POR FRASCO-AMPOLA),Acromegalia e gigantismo hipofisario 
2,E220,601300025,200801,201005,69190,5550,958,338,99,OCTR30,OCTREOTIDA  LAR 30 MG INJETAVEL (POR FRASCO-AMPOLA),Acromegalia e gigantismo hipofisario 
2,E220,601300033,200801,201004,31638,295,102,56,32,OCTR01,"OCTREOTIDA 0,1 MG/ML INJETAVEL (POR AMPOLA)",Acromegalia e gigantismo hipofisario 
2,E220,601300041,200801,201005,44637,7689,1406,481,126,OCTR20,OCTREOTIDA LAR 20 MG INJETAVEL (POR FRASCO-AMPOLA),Acromegalia e gigantismo hipofisario 
2,E220,601310012,200801,201005,748470,7205,1560,494,118,BROM25,"BROMOCRIPTINA 2,5 MG (POR COMPRIMIDO)",Acromegalia e gigantismo hipofisario 
2,E220,601310020,200801,201005,640679,26604,6737,968,143,CABE05,"CABERGOLINA 0,5 MG (POR COMPRIMIDO)",Acromegalia e gigantismo hipofisario 
2,E220,601330013,200801,200802,62,2,1,1,1,LEVO100,LEVOTIROXINA 100 MCG (POR COMPRIMIDO),Acromegalia e gigantismo hipofisario 
2,E220,601330048,200801,200801,90,2,2,2,2,LEVO50,LEVOTIROXINA 50 MCG (POR COMPRIMIDO),Acromegalia e gigantismo hipofisario 
2,E220,604030010,201003,201403,786774,7790,1138,415,111,BROM25,"BROMOCRIPTINA 2,5 MG (POR COMPRIMIDO)",Acromegalia e gigantismo hipofisario 
2,E220,604030029,201111,201401,360,5,3,3,3,BROM5,BROMOCRIPTINA 5 MG (POR COMPRIMIDO OU CÁPSULA DE LIBERAÇÃO RETARDADA,Acromegalia e gigantismo hipofisario 
2,E220,604030037,201003,201906,3140708,106324,14492,1735,193,CABE05,"CABERGOLINA 0,5 MG (POR COMPRIMIDO)",Acromegalia e gigantismo hipofisario 
2,E220,604110057,201003,201005,3,1,1,1,1,TRIP375,"TRIPTORRELINA 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)",Acromegalia e gigantismo hipofisario 
2,E220,604290012,201003,201906,30797,6159,917,335,87,OCTR10,OCTREOTIDA  LAR 10 MG INJETAVEL (POR FRASCO-AMPOLA),Acromegalia e gigantismo hipofisario 
2,E220,604290020,201003,201906,170913,37691,3436,958,147,OCTR20,OCTREOTIDA LAR 20 MG INJETAVEL (POR FRASCO-AMPOLA),Acromegalia e gigantismo hipofisario 
2,E220,604290039,201003,201906,227661,40279,3082,835,146,OCTR30,OCTREOTIDA  LAR 30 MG INJETAVEL (POR FRASCO-AMPOLA),Acromegalia e gigantismo hipofisario 
2,E220,604290047,201003,201906,42005,417,100,54,25,OCTR01,"OCTREOTIDA 0,1 MG/ML INJETAVEL (POR AMPOLA)",Acromegalia e gigantismo hipofisario 
2,E220,604290055,201104,201306,92,2,2,2,2,OCTR05,"OCTREOTIDA 0,5 MG/ML INJETAVEL (POR AMPOLA)",Acromegalia e gigantismo hipofisario 
2,E220,604290063,201409,201906,1762,395,135,64,24,LANR60,LANREOTIDA 60 MG INJETÁVEL (POR SERINGA PREENCHIDA),Acromegalia e gigantismo hipofisario 
2,E220,604290071,201403,201906,13365,3068,624,287,88,LANR90,LANREOTIDA 90 MG INJETÁVEL (POR SERINGA PREENCHIDA),Acromegalia e gigantismo hipofisario 
2,E220,604290080,201403,201906,49661,6656,1101,401,98,LANR120,LANREOTIDA 120 MG INJETÁVEL (POR SERINGA PREENCHIDA),Acromegalia e gigantismo hipofisario 
2,E220,604360010,201005,201005,120,3,3,3,1,ATOR10,ATORVASTATINA 10 MG (POR COMPRIMIDO),Acromegalia e gigantismo hipofisario 
3,D618,601040058,200802,200802,12,1,1,1,1,ALFA4000,ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA),Outras anemias aplasticas especificadas 
3,D618,601160010,200801,201004,6266,240,99,65,42,FILG300,FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),Outras anemias aplasticas especificadas 
3,D618,601200012,200801,201005,80070,522,171,85,34,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Outras anemias aplasticas especificadas 
3,D618,601200039,200801,201004,146366,662,197,119,53,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Outras anemias aplasticas especificadas 
3,D618,601200047,200801,201005,1349,148,51,32,26,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Outras anemias aplasticas especificadas 
3,D618,601200055,200801,201004,13857,66,29,19,15,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Outras anemias aplasticas especificadas 
3,D618,601200063,200801,201004,32447,203,77,52,33,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Outras anemias aplasticas especificadas 
3,D618,601210085,201002,201004,21,1,1,1,1,IMUN50,"IMUNOGLOBULINA HUMANA 5,0 G INJETAVEL (POR FRASCO)",Outras anemias aplasticas especificadas 
3,D618,604250010,201003,201906,9244,398,155,92,55,FILG300,FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),Outras anemias aplasticas especificadas 
3,D618,604340010,201212,201708,369,2,2,2,2,CICLOSP10,CICLOSPORINA 10 MG P/ TRANSPLANTE (POR CAPSULA),Outras anemias aplasticas especificadas 
3,D618,604340028,201004,201906,60282,312,94,68,41,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Outras anemias aplasticas especificadas 
3,D618,604340036,201003,201906,153647,958,253,144,76,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Outras anemias aplasticas especificadas 
3,D618,604340044,201003,201906,378202,2231,507,263,104,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Outras anemias aplasticas especificadas 
3,D618,604340052,201003,201906,1356,272,92,59,33,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Outras anemias aplasticas especificadas 
3,D618,604530013,201003,201104,28868,216,92,55,32,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Outras anemias aplasticas especificadas 
4,D590,601210042,200802,201004,204,10,10,8,8,IMUN05,"IMUNOGLOBULINA HUMANA 0,5 G INJETAVEL (POR FRASCO)",Anemia hemolitica auto-imune induzida por droga 
4,D590,601210069,200801,200812,193,9,3,3,3,IMUN25,IMUNOGLOBULINA OBTIDA/COELHO ANTITIMOCITOS HUMANOS 25 MG INJETAVEL P/TRANSPLANTE (POR FRASCO-AMPOLA,Anemia hemolitica auto-imune induzida por droga 
4,D590,601210077,200901,200910,42,2,2,2,2,IMUN30,"IMUNOGLOBULINA HUMANA 3,0 G INJETAVEL (POR FRASCO)",Anemia hemolitica auto-imune induzida por droga 
4,D590,601210085,200801,201004,7753,371,196,70,34,IMUN50,"IMUNOGLOBULINA HUMANA 5,0 G INJETAVEL (POR FRASCO)",Anemia hemolitica auto-imune induzida por droga 
4,D590,604090013,201409,201905,6017,60,24,22,19,CICLOFO50,CICLOFOSFAMIDA 50 MG (POR DRAGEA) ,Anemia hemolitica auto-imune induzida por droga 
4,D590,604310013,201003,201506,1230,58,47,19,2,IMUN05,"IMUNOGLOBULINA HUMANA 0,5 G INJETAVEL (POR FRASCO)",Anemia hemolitica auto-imune induzida por droga 
4,D590,604310021,201209,201409,21,3,3,3,2,IMUN10,"IMUNOGLOBULINA HUMANA 1,0 G INJETAVEL (POR FRASCO)",Anemia hemolitica auto-imune induzida por droga 
4,D590,604310030,201010,201109,148,5,5,5,5,IMUN25,IMUNOGLOBULINA OBTIDA/COELHO ANTITIMOCITOS HUMANOS 25 MG INJETAVEL P/TRANSPLANTE (POR FRASCO-AMPOLA,Anemia hemolitica auto-imune induzida por droga 
4,D590,604310056,201003,201906,21794,873,480,195,68,IMUN50,"IMUNOGLOBULINA HUMANA 5,0 G INJETAVEL (POR FRASCO)",Anemia hemolitica auto-imune induzida por droga 
4,D590,604340010,201512,201709,900,4,4,1,1,CICLOSP10,CICLOSPORINA 10 MG P/ TRANSPLANTE (POR CAPSULA),Anemia hemolitica auto-imune induzida por droga 
4,D590,604340028,201312,201906,23261,95,60,36,17,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Anemia hemolitica auto-imune induzida por droga 
4,D590,604340036,201308,201906,51748,261,134,84,25,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Anemia hemolitica auto-imune induzida por droga 
4,D590,604340044,201308,201906,38568,286,147,85,29,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Anemia hemolitica auto-imune induzida por droga 
4,D590,604340052,201309,201905,838,46,32,25,16,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Anemia hemolitica auto-imune induzida por droga 
4,D591,601210042,200803,200908,71,4,3,3,3,IMUN05,"IMUNOGLOBULINA HUMANA 0,5 G INJETAVEL (POR FRASCO)",Outras anemias hemoliticas auto-imunes 
4,D591,601210050,200801,200801,10,1,1,1,1,IMUN10,"IMUNOGLOBULINA HUMANA 1,0 G INJETAVEL (POR FRASCO)",Outras anemias hemoliticas auto-imunes 
4,D591,601210069,200811,200902,202,2,2,2,2,IMUN25,IMUNOGLOBULINA OBTIDA/COELHO ANTITIMOCITOS HUMANOS 25 MG INJETAVEL P/TRANSPLANTE (POR FRASCO-AMPOLA,Outras anemias hemoliticas auto-imunes 
4,D591,601210085,200801,201004,9337,246,151,87,43,IMUN50,"IMUNOGLOBULINA HUMANA 5,0 G INJETAVEL (POR FRASCO)",Outras anemias hemoliticas auto-imunes 
4,D591,601210093,200811,200811,11,1,1,1,1,IMUN60,"IMUNOGLOBULINA HUMANA 6,0 G INJETAVEL (POR FRASCO)",Outras anemias hemoliticas auto-imunes 
4,D591,604090013,201310,201906,11986,93,32,27,21,CICLOFO50,CICLOFOSFAMIDA 50 MG (POR DRAGEA) ,Outras anemias hemoliticas auto-imunes 
4,D591,604310013,201003,201710,131,6,6,6,5,IMUN05,"IMUNOGLOBULINA HUMANA 0,5 G INJETAVEL (POR FRASCO)",Outras anemias hemoliticas auto-imunes 
4,D591,604310030,201010,201110,452,11,9,7,4,IMUN25,IMUNOGLOBULINA OBTIDA/COELHO ANTITIMOCITOS HUMANOS 25 MG INJETAVEL P/TRANSPLANTE (POR FRASCO-AMPOLA,Outras anemias hemoliticas auto-imunes 
4,D591,604310056,201003,201906,34478,1144,770,289,88,IMUN50,"IMUNOGLOBULINA HUMANA 5,0 G INJETAVEL (POR FRASCO)",Outras anemias hemoliticas auto-imunes 
4,D591,604310064,201301,201812,32,2,2,2,2,IMUN60,"IMUNOGLOBULINA HUMANA 6,0 G INJETAVEL (POR FRASCO)",Outras anemias hemoliticas auto-imunes 
4,D591,604340028,201309,201906,10150,63,23,17,12,CICLOSP25,CICLOSPORINA 25MG (POR CAPSULA),Outras anemias hemoliticas auto-imunes 
4,D591,604340036,201309,201906,16006,134,48,35,27,CICLOSP50,CICLOSPORINA 50MG (POR CAPSULA),Outras anemias hemoliticas auto-imunes 
4,D591,604340044,201309,201906,23035,143,52,41,28,CICLOSP100,CICLOSPORINA 100MG (POR CAPSULA),Outras anemias hemoliticas auto-imunes 
4,D591,604340052,201311,201903,102,48,19,16,11,CICLOSP10050,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),Outras anemias hemoliticas auto-imunes 
6,D841,601200012,200801,200802,240,2,1,1,1,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Defeitos no sistema complemento 
6,D841,601290011,200801,201005,342555,2428,544,172,58,DANA100,DANAZOL 100 MG (POR CAPSULA),Defeitos no sistema complemento 
6,D841,604140029,201003,201906,1280821,10275,997,319,98,DANA100,DANAZOL 100 MG (POR CAPSULA),Defeitos no sistema complemento 
6,D841,604140037,201010,201906,15280,211,42,29,17,DANA200,DANAZOL 200 MG (POR CAPSULA),Defeitos no sistema complemento 
7,D600,601030028,200801,200802,8,2,1,1,1,SACA1005,SACARATO DE HIDROXIDO FERRICO 100 MG INJETAVEL (POR FRASCO DE 5 ML),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601040058,200801,200802,28,2,2,1,1,ALFA4000,ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601080025,200802,200802,210,5,5,1,1,HIDR400,HIDROXICLOROQUINA 400 MG (POR COMPRIMIDO),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601090055,200801,200802,990,5,5,3,2,MESA400,MESALAZINA 400 MG (POR COMPRIMIDO),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601090063,200801,200802,2100,7,7,1,1,MESA500,MESALAZINA 500 MG (POR COMPRIMIDO),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601090098,200801,200802,1440,9,8,5,3,SULF500,SULFASSALAZINA 500 MG (POR COMPRIMIDO),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601110030,200801,200802,168,2,1,1,1,OLAN10,OLANZAPINA 10 MG (POR COMPRIMIDO),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601120035,200801,200801,120,1,1,1,1,RIBA250,RIBAVIRINA 250 MG (POR CAPSULA),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601180208,200801,200802,360,7,5,4,2,SINV20,SINVASTATINA (J) 20 MG (POR COMPRIMIDO),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601190025,200801,200801,12,1,1,1,1,ALFA23000000,ALFAINTERFERONA 2B 3.000.000 UI INJETAVEL (POR FRASCO-AMPOLA),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601190041,200801,200802,33,2,1,1,1,ALFA280,ALFAPEGINTERFERONA 2B 80MCG (POR FRASCO-AMPOLA),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601190106,200801,200801,60,1,1,1,1,GLAT20,GLATIRAMER 20 MG INJETAVEL (POR SERINGA PREENCHIDA ),Aplasia pura adquirida cronica da serie vermelha 
7,D600,601200012,200801,201005,1549573,13815,2327,498,106,AZAT50,AZATIOPRINA 50 MG (POR COMPRIMIDO),Aplasia pura adquirida cronica da serie vermelha 
